case	ecli	celex
C-399/21	ECLI:EU:C:2022:648	62021CJ0399
C-403/21	ECLI:EU:C:2023:47	62021CJ0403
C-406/21	ECLI:EU:C:2022:816	62021CJ0406
C-416/21	ECLI:EU:C:2022:689	62021CJ0416
C-453/21	ECLI:EU:C:2023:79	62021CJ0453
C-520/21	ECLI:EU:C:2023:478	62021CJ0520
C-524/21	ECLI:EU:C:2023:100	62021CJ0524
C-565/21	ECLI:EU:C:2023:212	62021CJ0565
C-568/21	ECLI:EU:C:2023:683	62021CJ0568
C-583/21	ECLI:EU:C:2023:872	62021CJ0583
C-595/21	ECLI:EU:C:2022:949	62021CJ0595
C-605/21	ECLI:EU:C:2024:324	62021CJ0605
C-616/21	ECLI:EU:C:2023:280	62021CJ0616
C-628/21	ECLI:EU:C:2023:342	62021CJ0628
C-651/21	ECLI:EU:C:2023:277	62021CJ0651
C-656/21	ECLI:EU:C:2022:1024	62021CJ0656
C-658/21	ECLI:EU:C:2022:925	62021CJ0658
C-671/21	ECLI:EU:C:2023:709	62021CJ0671
C-721/21	ECLI:EU:C:2023:477	62021CJ0721
C-772/21	ECLI:EU:C:2023:305	62021CJ0772
C-810/21	ECLI:EU:C:2024:81	62021CJ0810
C-830/21	ECLI:EU:C:2023:959	62021CJ0830
C-6/22	ECLI:EU:C:2023:216	62022CJ0006
C-11/22	ECLI:EU:C:2023:765	62022CJ0011
C-21/22	ECLI:EU:C:2023:766	62022CJ0021
C-27/22	ECLI:EU:C:2023:663	62022CJ0027
C-47/22	ECLI:EU:C:2023:691	62022CJ0047
C-52/22	ECLI:EU:C:2023:309	62022CJ0052
C-76/22	ECLI:EU:C:2024:890	62022CJ0076
C-86/22	ECLI:EU:C:2023:1023	62022CJ0086
C-143/22	ECLI:EU:C:2023:689	62022CJ0143
C-180/22	ECLI:EU:C:2023:565	62022CJ0180
C-201/22	ECLI:EU:C:2023:914	62022CJ0201
C-206/22	ECLI:EU:C:2023:984	62022CJ0206
C-207/22	ECLI:EU:C:2023:810	62022CJ0207
C-213/22	ECLI:EU:C:2023:904	62022CJ0213
C-218/22	ECLI:EU:C:2024:51	62022CJ0218
C-219/22	ECLI:EU:C:2023:732	62022CJ0219
C-222/22	ECLI:EU:C:2024:192	62022CJ0222
C-234/22	ECLI:EU:C:2024:211	62022CJ0234
C-249/22	ECLI:EU:C:2023:813	62022CJ0249
C-257/22	ECLI:EU:C:2023:852	62022CJ0257
C-271/22	ECLI:EU:C:2023:834	62022CJ0271
C-277/22	ECLI:EU:C:2024:78	62022CJ0277
C-282/22	ECLI:EU:C:2023:312	62022CJ0282
C-294/22	ECLI:EU:C:2023:733	62022CJ0294
C-308/22	ECLI:EU:C:2024:350	62022CJ0308
C-311/22	ECLI:EU:C:2024:145	62022CJ0311
C-313/22	ECLI:EU:C:2023:574	62022CJ0313
C-321/22	ECLI:EU:C:2023:911	62022CJ0321
C-326/22	ECLI:EU:C:2023:775	62022CJ0326
C-329/22	ECLI:EU:C:2023:968	62022CJ0329
C-330/22	ECLI:EU:C:2024:19	62022CJ0330
C-331/22	ECLI:EU:C:2024:496	62022CJ0331
C-336/22	ECLI:EU:C:2024:226	62022CJ0336
C-341/22	ECLI:EU:C:2024:210	62022CJ0341
C-345/22	ECLI:EU:C:2024:349	62022CJ0345
C-355/22	ECLI:EU:C:2023:737	62022CJ0355
C-361/22	ECLI:EU:C:2024:17	62022CJ0361
C-366/22	ECLI:EU:C:2023:876	62022CJ0366
C-371/22	ECLI:EU:C:2024:21	62022CJ0371
C-374/22	ECLI:EU:C:2023:902	62022CJ0374
C-387/22	ECLI:EU:C:2024:786	62022CJ0387
C-391/22	ECLI:EU:C:2023:892	62022CJ0391
C-396/22	ECLI:EU:C:2023:1029	62022CJ0396
C-400/22	ECLI:EU:C:2024:436	62022CJ0400
C-407/22	ECLI:EU:C:2023:392	62022CJ0407
C-409/22	ECLI:EU:C:2024:600	62022CJ0409
C-415/22	ECLI:EU:C:2023:881	62022CJ0415
C-420/22	ECLI:EU:C:2024:344	62022CJ0420
C-422/22	ECLI:EU:C:2023:869	62022CJ0422
C-432/22	ECLI:EU:C:2024:987	62022CJ0432
C-433/22	ECLI:EU:C:2024:25	62022CJ0433
C-438/22	ECLI:EU:C:2024:71	62022CJ0438
C-441/22	ECLI:EU:C:2023:970	62022CJ0441
C-442/22	ECLI:EU:C:2024:100	62022CJ0442
C-451/22	ECLI:EU:C:2024:54	62022CJ0451
C-461/22	ECLI:EU:C:2024:607	62022CJ0461
C-472/22	ECLI:EU:C:2023:880	62022CJ0472
C-474/22	ECLI:EU:C:2024:73	62022CJ0474
C-497/22	ECLI:EU:C:2023:873	62022CJ0497
C-505/22	ECLI:EU:C:2023:731	62022CJ0505
C-509/22	ECLI:EU:C:2024:341	62022CJ0509
C-518/22	ECLI:EU:C:2023:956	62022CJ0518
C-538/22	ECLI:EU:C:2024:568	62022CJ0538
C-558/22	ECLI:EU:C:2024:209	62022CJ0558
C-562/22	ECLI:EU:C:2024:55	62022CJ0562
C-563/22	ECLI:EU:C:2024:494	62022CJ0563
C-582/22	ECLI:EU:C:2024:213	62022CJ0582
C-591/22	ECLI:EU:C:2023:799	62022CJ0591
C-598/22	ECLI:EU:C:2024:597	62022CJ0598
C-608/22	ECLI:EU:C:2024:828	62022CJ0608
C-621/22	ECLI:EU:C:2024:858	62022CJ0621
C-631/22	ECLI:EU:C:2024:53	62022CJ0631
C-632/22	ECLI:EU:C:2024:601	62022CJ0632
C-649/22	ECLI:EU:C:2024:156	62022CJ0649
C-653/22	ECLI:EU:C:2023:912	62022CJ0653
C-654/22	ECLI:EU:C:2024:298	62022CJ0654
C-656/22	ECLI:EU:C:2024:56	62022CJ0656
C-671/22	ECLI:EU:C:2024:256	62022CJ0671
C-677/22	ECLI:EU:C:2025:58	62022CJ0677
C-683/22	ECLI:EU:C:2024:936	62022CJ0683
C-684/22	ECLI:EU:C:2024:345	62022CJ0684
C-695/22	ECLI:EU:C:2024:406	62022CJ0695
C-696/22	ECLI:EU:C:2024:499	62022CJ0696
C-700/22	ECLI:EU:C:2023:960	62022CJ0700
C-701/22	ECLI:EU:C:2024:891	62022CJ0701
C-717/22	ECLI:EU:C:2024:1041	62022CJ0717
C-719/22	ECLI:EU:C:2024:978	62022CJ0719
C-724/22	ECLI:EU:C:2024:182	62022CJ0724
C-733/22	ECLI:EU:C:2024:126	62022CJ0733
C-741/22	ECLI:EU:C:2024:732	62022CJ0741
C-743/22	ECLI:EU:C:2024:438	62022CJ0743
C-746/22	ECLI:EU:C:2024:403	62022CJ0746
C-760/22	ECLI:EU:C:2024:574	62022CJ0760
C-763/22	ECLI:EU:C:2025:199	62022CJ0763
C-791/22	ECLI:EU:C:2024:59	62022CJ0791
C-10/23	ECLI:EU:C:2024:259	62023CJ0010
C-11/23	ECLI:EU:C:2024:194	62023CJ0011
C-20/23	ECLI:EU:C:2024:389	62023CJ0020
C-22/23	ECLI:EU:C:2024:327	62023CJ0022
C-41/23	ECLI:EU:C:2024:554	62023CJ0041
C-48/23	ECLI:EU:C:2025:144	62023CJ0048
C-57/23	ECLI:EU:C:2025:905	62023CJ0057
C-61/23	ECLI:EU:C:2024:974	62023CJ0061
C-62/23	ECLI:EU:C:2024:502	62023CJ0062
C-68/23	ECLI:EU:C:2024:342	62023CJ0068
C-80/23	ECLI:EU:C:2024:991	62023CJ0080
C-83/23	ECLI:EU:C:2024:699	62023CJ0083
